identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
Howard and Franklin Sts.,"Derek, Archie, Nichole… Arnold, Veale, Gray, Mason, Waters-Eller","Derek, Archie, Nichole…","Arnold, Veale, Gray, Mason, Waters-Eller",06/17/05 12:00 AM,"-76.62253999999996, 39.294880000000035",https://data.baltimorecity.gov/views/zqh4-9ud5/files/wF151w0008zhIUCS7UfVegHi03T0BqxnLFqRWiYwEC8?filename=Howard+%26+Franklin.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
115 W. Mulberry Street,Mary Carfagno Women's Mural Project and Ferguson,Mary Carfagno,Women's Mural Project and Ferguson,06/18/05 12:00 AM,"-76.62253999999996, 39.294880000000035",https://data.baltimorecity.gov/views/zqh4-9ud5/files/WFKhNRwSiXrpK4c3jSrbn8nGNu5pTf2cTT6zhUQxyaM?filename=Ferguson+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
115 S. Carey St.,Jenny Merker,Jenny,Merker,06/15/05 12:00 AM,"-76.63799948049422, 39.28604901152261",https://data.baltimorecity.gov/views/zqh4-9ud5/files/wJbOsPQwyEaChjtXyk43rk8OU5YYeq3cKfd-bqSXf1Y?filename=merker-115+s+carey+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets023,Charles Lawrence,Charles,Lawrence,06/28/05 12:00 AM,"-76.6074999999999,39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/x1CDgWLlTxrkboAUjw0zSkB4iGoKkk7Au00E6gRuOEk?filename=Charles+Lawrence+Farmer%27s+Market.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets024,Chris Gregorek,Chris,Gregorek,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/x5gM_y09hvHIYV1b0pa7SW2ine16DuzIDYbyLnG4qG8?filename=Chris+Gregorek+FM07+alt+1.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets025,Nicolas Tolls,Nicolas,Tolls,06/28/05 12:00 AM,"-76.60749999999996, 39.29730000000006",https://data.baltimorecity.gov/views/zqh4-9ud5/files/xOgon1UjRkyBlg6JFdbRnNruQIkXYI_nZQ6GkR7rSAQ?filename=NicholasTolls.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1139 N. Gilmore St.,Charles Lawrence,Charles,Lawrence,06/20/05 12:00 AM,"-76.6430238325883, 39.3015526379558",https://data.baltimorecity.gov/views/zqh4-9ud5/files/xrEIL8JRr4kHnZ4XptowsZ8Pp7JQ5rJaSNdUndH_mNM?filename=Gilmor+Street.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1137 Harford Road,Jessie Unterhalter,Jessie,Unterhalter,07/03/05 12:00 AM,"-76.60216965784299, 39.30374711117455",https://data.baltimorecity.gov/views/zqh4-9ud5/files/XwLIIa02vUv2hZ9KbFISkXQIuEMengKmIVb2bGABGqA?filename=1137+Harford+J.+Unterhalter.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2310 Harford Rd.,George Ferrandi,George,Ferrandi,06/12/05 12:00 AM,"-76.59610006714917, 39.31602341475917",https://data.baltimorecity.gov/views/zqh4-9ud5/files/yLlcwwxcYKAPEKj_SiXiLHX9tXFOKbGN-V6FVKa3R5E?filename=ferrandi-2310+harford+rd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets026,Stephanie Leung,Stephanie,Leung,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/yu-svQPxsFzHCRgfulfwLaL7KzXjEHzczpAvu-jCMuU?filename=S.+Leung+FM+Detail.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"1530 N. Bentalou Street, Easterwood Recreation Center",Michelle Santos,Michelle,Santos,06/30/05 12:00 AM,"-76.67214999999999, 39.310280000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/yVnmL7Vfsrin5OghoDYzlxApKS1EN4-8vZiUOuRdJi8?filename=M+Santos+Easterwood+Rec+Nov+08.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
North and Park Aves.,Bonnie Bonnell,Bonnie,Bonnell,06/14/05 12:00 AM,"-76.64039000000002, 39.31194000000011",https://data.baltimorecity.gov/views/zqh4-9ud5/files/YYulneSSWbQxRJ4lxQTPWMTJPO7aR7AXjpEYpG7NTQc?filename=bonnell-north+%26+park+aves.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets027,Bill Remington,Bill,Remington,06/29/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/zemVtZelY0si1VMNlQ9H31rJzeFYGPhWFPLOSF8P6pk?filename=B.+Remington+Farmers%27+Market.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
500 N. Howard St.,John Ellsberry,John,Ellsberry,06/14/05 12:00 AM,"-76.61987063772014, 39.294996911178586",https://data.baltimorecity.gov/views/zqh4-9ud5/files/ZQlOUb4K16HkMLTrq79FQ_3-jESMc5rP8t5EKRAULp4?filename=ellsberry+-+500+N+Howard+St.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
"2710 E. Hoffman Street, Fort Worthington Rec Center",Tom Clayton,Tom,Clayton,07/01/05 12:00 AM,"-76.57662999999991, 39.316199999999924",https://data.baltimorecity.gov/views/zqh4-9ud5/files/zrg10h68JJm7wSxxeWUZt-t_PW8yaj2uyS5aJamECXE?filename=Tom+Clayton+Ft.+Worthington+Rec+Center+%281%29.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1400 Greenmount Avenue,Archie Veale,Archie,Veale,07/01/05 12:00 AM,"-76.60852869759407, 39.306175838538365",https://data.baltimorecity.gov/views/zqh4-9ud5/files/zvDCRvnCZ9vUeR17cKb8KxWPZUnUm_n5MRz8LYSk9Jk?filename=A.+Veale+1400+Greenmount.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
W. Hamburg and Bayard Sts.,Shawn James and Mural Masters,Shawn,James and Mural Masters,06/26/05 12:00 AM,"-76.62630000000001, 39.266940000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/ZXthXCpQ5N__zbbQTYcMuOoZs8sm9Oz82x7v_WB55As?filename=James+Mural+-+Biking.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1731 E. Chase St.,Jennifer Rattigan,Jennifer,Rattigan,06/26/05 12:00 AM,"-76.59300639936833, 39.303289014824315",
N. Patterson Park Ave. and N. Gay St.,Lyle Kissack,Lyle,Kissack,06/26/05 12:00 AM,"-76.58588376889628, 39.31099620461538",
1103 Brentwood Ave.,Gary Mullen,Gary,Mullen,06/22/05 12:00 AM,"-76.60957191114807, 39.302920292792294",
N. Patterson Park Ave. and N. Gay St.,Alexander Martray,Alexander,Martray,06/26/05 12:00 AM,"-76.58588376889628, 39.31099620461538",
1620 Bush St.,Shawn James and Mural Masters,Shawn,James and Mural Masters,06/26/05 12:00 AM,"-76.63308018899397, 39.27469956751287",
2009 Annapolis Road,Lyle Kissack,Lyle,Kissack,07/03/05 12:00 AM,"-76.6316412737471, 39.26682150653619",
Key Highway under I95,Michael Kirby,Michael,Kirby,06/27/05 12:00 AM,"-76.59230257036342, 39.26492918622983",
Wicomico and Bayard Sts.,Shawn James and Mural Masters,Shawn,James and Mural Masters,06/26/05 12:00 AM,"-76.62630000000001, 39.266940000000034",
2300 Washington Boulevard,Chris Peters,Chris,Peters,07/03/05 12:00 AM,"-76.64942087026634, 39.26934860143854",
323 E. 20th St.,Lyle Kissack,Lyle,Kissack,06/27/05 12:00 AM,"-76.61164035181548, 39.3124081402014",
900 Ostend St.,Tony Shore,Tony,Shore,06/22/05 12:00 AM,"-76.65196999999989, 39.28365000000008",
