identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
765 W. Cross St.,Patrick Jacobson,Patrick,Jacobson,06/21/05 12:00 AM,"-76.62786412122404, 39.27977174375809",https://data.baltimorecity.gov/views/zqh4-9ud5/files/KxccjdBhiBTqJ1BLDNyG8YLAwW-WuRAxV0wdMe9aUmA?filename=jacobson+-+765+W+Cross+Street+2.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1317 W. Baltimore St.,Lyle Kissack and MICA CAP Program,Lyle,Kissack and MICA CAP Program,06/27/05 12:00 AM,"-76.63889382547316, 39.28846556635039",https://data.baltimorecity.gov/views/zqh4-9ud5/files/L0uZV4kJCIDNOV3i91VtkqnCqy8ISJstZlXJWRw9LbI?filename=SoWeBo+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
600 W. 28th St.,John Ellsberry,John,Ellsberry,06/09/05 12:00 AM,"-76.63518999999991, 39.3310099999999",https://data.baltimorecity.gov/views/zqh4-9ud5/files/LuEGShNeq7xyVUmWHZsibq13bKVdCWCNxZ6WKCb9MpA?filename=ellsberry+-+600+w+28+st+3.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2222 Druid Park Dr.,Camillia Blackwell,Camillia,Blackwell,06/09/05 12:00 AM,"-76.63787156223106, 39.30943185475045",https://data.baltimorecity.gov/views/zqh4-9ud5/files/LVMq7D3f_fFsE9sZDAwUfztwsYAQjtlWpdHhjgYcCdY?filename=Druid+Hill+Park+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
610 S. Broadway,Shawn James,Shawn,James,06/28/05 12:00 AM,"-76.59353699936565, 39.28409748271906",https://data.baltimorecity.gov/views/zqh4-9ud5/files/LWAfI8VK_jnbba_8m0cLaNXljvzhe_5vOJQBU6SLwSk?filename=Shawn+James+Broadway+Temporary+front.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
2174 Hollins St.,Ernest Shaw,Ernest,Shaw,06/21/05 12:00 AM,"-76.65103901021284, 39.28701276375379",https://data.baltimorecity.gov/views/zqh4-9ud5/files/LXh9thKMBRxL6dqVRpgyRxobvLO_vesN5a_hfzXt4H0?filename=Shaw+-+2174+Hollins+St.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
North and Harford Rds.,Tom Miller,Tom,Miller,06/18/05 12:00 AM,"-76.57662999999991, 39.316199999999924",https://data.baltimorecity.gov/views/zqh4-9ud5/files/m_N0IyxPDFZBwH7QEgJ2KSVsJ9WeTyIulRmsM9DOTdg?filename=miller+-+north+ave+%26+hartford+rd+%28orig+1992%29+3.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Greenmount Ave. and Venerable Ave.,Robert Heironimus,Robert,Heironimus,06/18/05 12:00 AM,"-76.60331999999988, 39.32947000000013",https://data.baltimorecity.gov/views/zqh4-9ud5/files/m-QGLtvi8btd6bllSy7ZecoOZabKRCLSytHw8eajfkA?filename=Heironomous+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
711 N. Carey St.,Deborah English,Deborah,English,06/11/05 12:00 AM,"-76.63862001269445, 39.29702973350038",https://data.baltimorecity.gov/views/zqh4-9ud5/files/mav3nMczyXG9llGV1t-ChAblpY5vBRQtdeYKQnMmKo8?filename=English+-+711+N.+Carey+Street.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets017,Seth Goodman,Seth,Goodman,06/30/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/MPRRZ9SyymW8l-SSoAe6I-us1RhOzxqbokDXeeYJilM?filename=Seth+Goodman+Farmers+Market+08+alt+view.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
